Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
198,The Phantom Tollbooth,Norton Juster,4.20,"293,836","First published January 1, 1961",This beloved story -first published more than fifty years ago- introduces readers to Milo and his adventures in the Lands Beyond. ,"13,865",248,Paperback,"90,357","Fantasy, Fiction, Classics, Childrens, Young Adult, Middle Grade, Adventure"
200,The Diary of a Young Girl,Anne Frank,4.19,"3,874,358","First published January 1, 1947","Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. ","43,629",283,Mass Market Paperback,"89,562","Nonfiction, Biography, Memoir, Classics, Historical, Holocaust, Autobiography"
197,The Joy Luck Club,Amy Tan,3.97,"692,381","First published January 1, 1989","Four mothers, four daughters, four families, whose histories shift with the four winds depending on who's telling the stories. In 1949, four Chinese women, recent immigrants to San Francisco, meet weekly to play mahjong and tell stories of what they left behind in China. United in loss and new hope for their daughters' futures, they call themselves the Joy Luck Club. Their daughters, who have never heard these stories, think their mothers' advice is irrelevant to their modern American lives – until their own inner crises reveal how much they've unknowingly inherited of their mothers' pasts. ","13,985",352,Paperback,"90,573","Fiction, Historical Fiction, Classics, China, Contemporary, Historical, Adult Fiction"
196,"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.25,"562,713","First published July 1, 1988","A serial murderer known only by a grotesquely apt nickname—Buffalo Bill—is stalking women. He has a purpose, but no one can fathom it, for the bodies are discovered in different states. Clarice Starling, a young trainee at the FBI Academy, is surprised to be summoned by Jack Crawford, chief of the Bureau's Behavioral Science section. Her assignment: to interview Dr. Hannibal Lecter—Hannibal the Cannibal—who is kept under close watch in the Baltimore State Hospital for the Criminally Insane.","10,399",421,Paperback,"90,744","Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller"
194,"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,"253,537","First published March 2, 1931","This tells the poignant tale of a Chinese farmer and his family in old agrarian China. The humble Wang Lung glories in the soil he works, nurturing the land as it nurtures him and his family. Nearby, the nobles of the House of Hwang consider themselves above the land and its workers; but they will soon meet their own downfall.","11,994",418,Mass Market Paperback,"90,980","Fiction, Historical Fiction, China, Classics, Literature, Historical, Asia"
195,Alice in Wonderland,Jane Carruth,4.03,"392,789","First published January 1, 1865",.,"5,629",96,Hardcover,"90,907","Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature"
193,The Night Circus,Erin Morgenstern,4.01,"1,019,453","First published September 13, 2011","The circus arrives without warning. No announcements precede it. It is simply there, when yesterday it was not. Within the black-and-white striped canvas tents is an utterly unique experience full of breathtaking amazements. It is called Le Cirque des Rêves, and it is only open at night. ","108,897",506,Hardcover,"92,004","Fantasy, Fiction, Romance, Historical Fiction, Magic, Young Adult, Audiobook"
192,The Call of the Wild,Jack London,3.91,"443,910","First published January 1, 1903","First published in 1903, ","16,378",172,Mass Market Paperback,"92,197","Fiction, Classics, Adventure, Young Adult, Animals, Historical Fiction, Literature"
189,The Prophet,Kahlil Gibran,4.23,"308,730","First published January 1, 1923","Kahlil Gibran’s masterpiece, ","15,322",127,Paperback,"93,497","Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature"
188,Tess of the D’Urbervilles,Thomas Hardy,3.83,"290,451","First published January 1, 1891",Alternate covers can be found ,"12,348",518,Paperback,"95,434","Fiction, Classics, Literature, Historical Fiction, 19th Century, Victorian, Novels"
